,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2017-01-03,1.0,3.0,7.0,4.0,1.0,0.004089815557337451,0.00263849139218512,0.0032405880654727036,0.0003606760230759898,-0.001017764618800876,0.00971275618716172,0.009120909121388188,-0.010730520805962596,-0.010138673740189064,-0.010138673740189064
2017-01-04,1.0,3.0,7.0,4.0,1.0,0.010302691478316417,0.0055964789434928,0.012546615865541908,0.005154812142988741,0.004260442715569246,0.0078031733303811635,0.011693214107164396,-0.0035427306148119175,-0.00743277139159515,-0.00743277139159515
2017-01-05,1.0,3.0,7.0,4.0,1.0,-0.003320158102766757,0.00270291648049185,-0.0027641541536828707,0.0018473273202221918,-0.00046112699437439453,-0.00015438008971857542,0.0007209128852621038,-0.0003067469046558191,-0.0011820398796364984,-0.0011820398796364984
2017-01-06,2.0,2.0,7.0,4.0,1.0,-0.001431837572504202,-0.006706590631595788,-0.00031439382341632725,-0.0012445508281593853,-0.0010149474072707054,-0.005974244237318849,-0.004322361265642338,0.004959296830048143,0.003307413858371633,0.003307413858371633
2017-01-09,2.0,2.0,7.0,4.0,1.0,0.004733818460360029,0.016098029793368607,0.004107116744573568,0.0004253807793866693,-0.0005541701302299584,0.004848148114957596,0.006874232926634027,-0.005402318245187554,-0.007428403056863986,-0.007428403056863986
2017-01-10,2.0,2.0,7.0,4.0,1.0,-0.001338505244755206,-0.0024848010159918554,-0.003061158402136737,-0.0031394785798363467,-0.0026799741243876962,-0.0016736526056065903,-0.0033497417160528453,-0.0010063215187811059,0.0006697675916651491,0.0006697675916651491
2017-01-11,2.0,2.0,7.0,4.0,1.0,-0.003323890295065246,-0.0025304884139745742,-0.004315827541986148,-0.003951393907759476,-0.002316530763528557,-0.007078049114573881,-0.009692004760765371,0.004761518351045324,0.007375473997236814,0.007375473997236814
2017-01-12,2.0,2.0,7.0,4.0,1.0,-0.0037917174087995775,-0.0008587811964604342,-0.0008337387019484086,-0.002141102270554751,-0.0013931457230427213,-0.005062228220123033,-0.00933518215528839,0.0036690824970803115,0.00794203643224567,0.00794203643224567
2017-01-13,2.0,2.0,7.0,4.0,1.0,-0.0003914196412724835,-0.011802125105361272,-0.005693267007233747,-0.00201512577256191,-0.00037202380952372494,0.0006902538566804228,-0.012464828586687182,-0.0010622776662041478,0.012092804777163457,0.012092804777163457
2017-01-16,2.0,2.0,7.0,4.0,1.0,-0.012285520335488131,-0.01621810827730852,-0.01043178353987763,-0.008774111736593343,-0.0047450688500186855,-0.0001385579729571429,-0.026380786031840353,-0.004606510877061543,0.021635717181821668,0.021635717181821668
2017-01-17,2.0,2.0,7.0,4.0,1.0,0.00590211756162029,0.01126804938318049,0.0007879927630800268,-0.0018724468201291866,-0.003739366177432979,0.0020816701562007545,0.008427785994256531,-0.005821036333633733,-0.01216715217168951,-0.01216715217168951
2017-01-18,2.0,2.0,7.0,4.0,1.0,-0.003003040142619595,-0.005794772735200793,-0.0015302760587570913,-0.00646492705072399,-0.0038472365581307955,0.0039111821931479,-0.0022163506832376667,-0.007758418751278695,-0.0016308858748931288,-0.0016308858748931288
2017-01-19,2.0,2.0,7.0,4.0,1.0,0.0023828756058158485,0.001451042850192319,-0.005254756598997989,6.695608309315038e-05,-0.002920120572720397,-0.0030185334359474902,-0.004104742617313084,9.841286322709308e-05,0.001184622044592687,0.001184622044592687
2017-01-20,2.0,2.0,7.0,4.0,1.0,0.005975288264336909,0.004930723744964727,0.005581523663292406,0.007064803807306175,0.00198393953708087,0.007689327153837633,0.01295899187250149,-0.005705387616756763,-0.01097505233542062,-0.01097505233542062
2017-01-23,2.0,2.0,7.0,4.0,1.0,0.0042812726320370365,0.0017357616492944539,7.253077911728578e-05,1.7321642925033354e-05,-0.0008485762775787276,0.0027392850436229743,0.008195034302515447,-0.003587861321201702,-0.009043610580094175,-0.009043610580094175
2017-01-24,2.0,2.0,7.0,4.0,1.0,0.0008148592573400393,-0.003341849560337007,-0.002372446228232485,-0.0033996980820776845,-0.003774653203736933,0.00010998549380514255,-0.0011195414254629998,-0.0038846386975420755,-0.002655111778273933,-0.002655111778273933
2017-01-25,2.0,2.0,7.0,4.0,1.0,0.002954313683074472,-0.0009275656122749165,0.0014140873018879832,0.002465762708022179,-0.0020839253575826167,0.0034032308401077405,0.0023210699954259173,-0.005487156197690357,-0.004404995353008534,-0.004404995353008534
2017-01-26,2.0,2.0,7.0,4.0,1.0,0.00393404074705761,0.0027337559429476688,0.0016764790095161264,0.001988099517739206,0.0036070242050310064,0.0035723806984804263,0.0071428918193336965,3.464350655058013e-05,-0.00353586761430269,-0.00353586761430269
2017-02-03,2.0,2.0,7.0,4.0,1.0,-0.008819876204169352,-0.008043294958261837,-0.006913023135552658,-0.0014279390264438363,-0.003404899271729822,-0.00692747257936932,-0.002670432908988385,0.0035225733076394983,-0.0007344663627414372,-0.0007344663627414372
2017-02-06,2.0,2.0,7.0,4.0,1.0,-0.00587218306412346,0.0031701007782155566,-3.059481664172527e-05,0.0017187087515108668,0.004270665274745955,0.0025917746820469656,0.008403293652903265,0.0016788905926989894,-0.00413262837815731,-0.00413262837815731
2017-02-07,2.0,2.0,7.0,4.0,1.0,0.003683104503796053,-0.0018356484793834449,-0.00021475274964077862,-0.0018797739013498571,-0.0031185031185031464,-0.0022322950542659203,-0.0005304149858209595,-0.0008862080642372261,-0.002588088132682187,-0.002588088132682187
