,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/2/13,3,3,3,3,3,-0.000221185,0.002260362,0.004722921,-0.001161793,0.001526869,0.006676451,0.005134833,-0.005149582,-0.003607963,-0.003607963,0.995473437,1.01273732,0.974552873,1.008398986,0.997345004
2017/2/14,3,3,3,3,3,0.001020401,0.000174869,0.002457157,-0.00131165,-0.00127997,-0.000139686,0.000822651,-0.001140284,-0.002102621,-0.002102621,0.99648922,1.012914417,0.976947502,1.007076319,0.996068432
2017/2/15,3,3,3,3,3,0.002636834,-0.003738006,-0.002930594,-0.00239894,-0.003068772,-0.004100937,-0.009912328,0.001032165,0.006843556,0.006843556,0.999116796,1.009128138,0.974084466,1.004660403,0.993011725
2017/2/16,3,3,3,3,3,-0.000619312,-0.001109985,-2.96E-05,-0.002474315,-0.003120355,0.005617075,0.007547887,-0.008737429,-0.010668242,-0.010668242,0.998498031,1.00800802,0.974055681,1.002174556,0.989913176
2017/2/17,3,3,3,3,3,-0.000507977,-0.002966454,-0.003494856,-0.006258047,-0.004339031,-0.005664166,-0.008205254,0.001325136,0.003866223,0.003866223,0.997990817,1.005017811,0.970651497,0.995902901,0.985617913
2017/2/20,3,3,3,3,3,0.001476047,0.005347711,0.004237611,0.003350076,0.006812102,0.014599116,0.012351042,-0.007787014,-0.00553894,-0.00553894,0.999463899,1.010392356,0.97476474,0.999239252,0.992332043
2017/2/21,3,3,3,3,3,-0.000305598,0.00997413,-0.00024295,0.004431246,0.003061741,0.003292629,0.007733678,-0.000230888,-0.004671937,-0.004671937,0.999158465,1.02047014,0.974527921,1.003667127,0.995370307
2017/2/22,3,3,3,3,3,0.005273689,-0.003354872,0.00306235,0.003187306,0.002707829,0.001992638,0.00618391,0.000715191,-0.003476081,-0.003476081,1.004427716,1.017046594,0.977512267,1.006866122,0.998065599
2017/2/23,3,3,3,3,3,-0.003051609,-0.003271122,0.001291719,0.000413031,0.002586783,-0.004710926,-3.71E-05,0.007297708,0.002623853,0.002623853,1.001362595,1.01371971,0.978774938,1.007281989,1.000647378
2017/2/24,3,3,3,3,3,0.002781478,-0.000641428,0.001075783,3.29E-05,0.001920712,0.000152592,0.000336732,0.00176812,0.001583979,0.001583979,1.004147863,1.013069483,0.979827887,1.007315172,1.002569333
2017/2/27,3,3,3,3,3,-0.00336906,-0.001271916,-0.004761367,-0.004220103,-0.008758585,-0.007953711,-0.00801554,-0.000804874,-0.000743045,-0.000743045,1.000764829,1.011780943,0.975162567,1.003064198,0.993788244
2017/2/28,3,3,3,3,3,-0.000888097,0.001566891,-0.000405325,0.000620894,0.002178458,0.00191224,0.004157677,0.000266218,-0.001979219,-0.001979219,0.999876052,1.013366294,0.974767309,1.003686994,0.99595317
2017/3/1,3,3,3,3,3,-0.000227522,-0.000172241,-0.000123016,-0.00429382,-0.000455495,0.001630556,0.002584108,-0.002086051,-0.003039603,-0.003039603,0.999648558,1.013191751,0.974647397,0.999377343,0.995499518
2017/3/2,3,3,3,3,3,0.000751223,-0.002276495,-0.001179558,-0.003665677,-0.001455402,-0.006748708,-0.005103871,0.005293306,0.003648469,0.003648469,1.000399517,1.010885226,0.973497744,0.995713948,0.994050666
2017/3/3,3,3,3,3,3,0.005263605,-0.001432869,-0.00174502,-0.000163468,0.005513334,-0.002107653,0.00283,0.007620987,0.002683334,0.002683334,1.005665225,1.009436759,0.971798971,0.99555118,0.999531199
2017/3/6,3,3,3,3,3,0.002130208,0.001999081,-0.000172787,0.000879347,-2.50E-05,0.00543196,0.009992499,-0.005456933,-0.010017472,-0.010017472,1.007807501,1.011454705,0.971631056,0.996426615,0.999506238
2017/3/7,3,3,3,3,3,0.000124081,0.007898246,0.000583675,0.003490094,5.71E-05,0.00217033,0.000900677,-0.002113255,-0.000843602,-0.000843602,1.007932551,1.019443423,0.972198173,0.999904238,0.999563285
2017/3/8,3,3,3,3,3,-0.00405529,-0.002345497,-0.003116003,-0.000539516,-0.001655352,-0.001514204,-0.00400111,-0.000141148,0.002345758,0.002345758,1.003845092,1.017052322,0.969168801,0.999364774,0.997908656
2017/3/9,3,3,3,3,3,-0.001348933,-0.002518844,-0.003169446,-0.006270154,0.000753053,-0.006318268,-0.008882438,0.007071321,0.009635491,0.009635491,1.002490973,1.014490526,0.966097072,0.993098603,0.998660134
2017/3/10,3,3,3,3,3,-0.000898445,-0.001256778,-0.00858355,-0.005050026,-0.000849928,0.000277215,0.001326215,-0.001127143,-0.002176142,-0.002176142,1.001590289,1.013215537,0.95780453,0.98808343,0.997811345
2017/3/13,3,3,3,3,3,-0.000153941,0.000608806,0.001251458,-0.00251583,0.008498804,0.008813002,0.009302225,-0.000314197,-0.00080342,-0.00080342,1.001436103,1.013832389,0.959003181,0.98559758,1.006291549
