,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2017-01-03,3.0,3.0,3.0,3.0,3.0,0.007513008464746266,0.0027230758471289787,0.0038460824684371318,0.0004706904645106109,0.0002565505363252285,0.00971275618716172,0.009120909121388188,-0.009456205650836491,-0.00886435858506296,-0.00886435858506296
2017-01-04,3.0,3.0,3.0,3.0,3.0,0.02751611636889713,0.006100550248083166,0.0036722403756481725,0.004022877270066634,0.004399678697762773,0.0078031733303811635,0.011693214107164396,-0.003403494632618391,-0.007293535409401623,-0.007293535409401623
2017-01-05,3.0,3.0,3.0,3.0,3.0,-0.007201381907881628,9.094823179189859e-05,0.0022362727124850545,-0.000725208217006464,0.002482261164873637,-0.00015438008971857542,0.0007209128852621038,0.0026366412545922122,0.001761348279611533,0.001761348279611533
2017-01-06,3.0,3.0,3.0,3.0,3.0,-0.004682566343229684,-0.0005693465670126482,8.119159942443499e-05,-0.000864974569413627,-0.0018352139766517246,-0.005974244237318849,-0.004322361265642338,0.004139030260667124,0.002487147288990614,0.002487147288990614
2017-01-09,3.0,3.0,3.0,3.0,3.0,0.012636781767007665,0.003481516720024539,0.006139879594925643,0.0003668054372801821,0.002321620213742936,0.004848148114957596,0.006874232926634027,-0.0025265279012146595,-0.004552612712891091,-0.004552612712891091
2017-01-10,3.0,3.0,3.0,3.0,3.0,-0.0021037141453413843,-0.005510163562122379,-0.002259715567600295,-0.0024562972889888473,-0.002258216510530338,-0.0016736526056065903,-0.0033497417160528453,-0.0005845639049237477,0.0010915252055225073,0.0010915252055225073
2017-01-11,3.0,3.0,3.0,3.0,3.0,-0.0015552920257525524,-0.0062627748973681134,-0.0054620492896454795,-0.0014792978445016627,-0.003138484017433551,-0.007078049114573881,-0.009692004760765371,0.0039395650971403295,0.00655352074333182,0.00655352074333182
2017-01-12,3.0,3.0,3.0,3.0,3.0,-0.0024419257476139267,-0.0007369570330441425,-0.001035181876356761,-0.00042838571412070114,-0.003065202493762446,-0.005062228220123033,-0.00933518215528839,0.001997025726360587,0.006269979661525945,0.006269979661525945
2017-01-13,3.0,3.0,3.0,3.0,3.0,-0.007709214549812918,-0.005022180089952662,-0.00678828294720483,-0.0004884528968325622,-0.00029105372156723597,0.0006902538566804228,-0.012464828586687182,-0.0009813075782476588,0.012173774865119946,0.012173774865119946
2017-01-16,3.0,3.0,3.0,3.0,3.0,-0.017110868003318846,-0.005815740398236438,-0.011005103614878534,-0.007006056790692994,-0.005183518112854927,-0.0001385579729571429,-0.026380786031840353,-0.005044960139897784,0.021197267918985428,0.021197267918985428
2017-01-17,3.0,3.0,3.0,3.0,3.0,0.008698944524181258,0.0018021685045654563,-0.002097425793832467,-0.0002775821403630344,-0.0008956763195155555,0.0020816701562007545,0.008427785994256531,-0.0029773464757163097,-0.009323462313772088,-0.009323462313772088
2017-01-18,3.0,3.0,3.0,3.0,3.0,-0.004427652430676295,-0.004349054133863513,-0.006113366402271224,-0.0025828697593973287,-0.0019745593431249597,0.0039111821931479,-0.0022163506832376667,-0.005885741536272859,0.00024179134011270698,0.00024179134011270698
2017-01-19,3.0,3.0,3.0,3.0,3.0,0.0025559456373387777,-0.0015538100222111475,-0.0003300421671656265,-0.00028143158783289213,-0.0014162882667895227,-0.0030185334359474902,-0.004104742617313084,0.0016022451691579676,0.0026884543505235614,0.0026884543505235614
2017-01-20,3.0,3.0,3.0,3.0,3.0,0.004653818509720316,0.006662239427262036,0.006589155336795012,0.004669884338017368,0.0038617361752153463,0.007689327153837633,0.01295899187250149,-0.0038275909786222866,-0.009097255697286144,-0.009097255697286144
