,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2017-01-03,9.0,4.0,2.0,0.0,0.0,0.002809303796448405,-0.00014393558180908483,0.004317672617756951,0.0,0.0,0.00971275618716172,0.009120909121388188,-0.00971275618716172,-0.009120909121388188,-0.009120909121388188
2017-01-04,9.0,4.0,2.0,0.0,0.0,0.011414278901913943,0.0029657804255698306,0.009067494092072304,0.0,0.0,0.0078031733303811635,0.011693214107164396,-0.0078031733303811635,-0.011693214107164396,-0.011693214107164396
2017-01-05,9.0,4.0,2.0,0.0,0.0,-0.0020719014849288984,0.0012545920263929977,0.002339920948616625,0.0,0.0,-0.00015438008971857542,0.0007209128852621038,0.00015438008971857542,-0.0007209128852621038,-0.0007209128852621038
2017-01-06,9.0,4.0,2.0,0.0,0.0,-0.0017886655951013179,-0.0003910756294263351,-0.002746802129118542,0.0,0.0,-0.005974244237318849,-0.004322361265642338,0.005974244237318849,0.004322361265642338,0.004322361265642338
2017-01-09,9.0,4.0,2.0,0.0,0.0,0.006400503595176065,0.0015664004345609661,0.006478562127976262,0.0,0.0,0.004848148114957596,0.006874232926634027,-0.004848148114957596,-0.006874232926634027,-0.006874232926634027
2017-01-10,9.0,4.0,2.0,0.0,0.0,-0.002950953206540448,-0.0025735761717147754,-0.000509180155967015,0.0,0.0,-0.0016736526056065903,-0.0033497417160528453,0.0016736526056065903,0.0033497417160528453,0.0033497417160528453
2017-01-11,9.0,4.0,2.0,0.0,0.0,-0.0033000696805460432,-0.004217896398323789,-0.0024274395285392436,0.0,0.0,-0.007078049114573881,-0.009692004760765371,0.007078049114573881,0.009692004760765371,0.009692004760765371
2017-01-12,9.0,4.0,2.0,0.0,0.0,-0.0008076709521914132,-0.0018371068315466699,-0.005686536785142304,0.0,0.0,-0.005062228220123033,-0.00933518215528839,0.005062228220123033,0.00933518215528839,0.00933518215528839
2017-01-13,9.0,4.0,2.0,0.0,0.0,-0.005017790900510367,-0.005351260518087597,3.4138315349929726e-05,0.0,0.0,0.0006902538566804228,-0.012464828586687182,-0.0006902538566804228,0.012464828586687182,0.012464828586687182
2017-01-16,9.0,4.0,2.0,0.0,0.0,-0.008514828565873971,-0.012425970131523967,-0.012716167583878946,0.0,0.0,-0.0001385579729571429,-0.026380786031840353,0.0001385579729571429,0.026380786031840353,0.026380786031840353
2017-01-17,9.0,4.0,2.0,0.0,0.0,0.0019575574181146154,0.0029428720530871866,0.0034251042451967084,0.0,0.0,0.0020816701562007545,0.008427785994256531,-0.0020816701562007545,-0.008427785994256531,-0.008427785994256531
2017-01-18,9.0,4.0,2.0,0.0,0.0,-0.002691824992623782,-0.003445774964138365,-0.0004368698452398845,0.0,0.0,0.0039111821931479,-0.0022163506832376667,-0.0039111821931479,0.0022163506832376667,0.0022163506832376667
2017-01-19,9.0,4.0,2.0,0.0,0.0,-0.0016919611304783636,-0.0051361438758459055,0.0015311147540549852,0.0,0.0,-0.0030185334359474902,-0.004104742617313084,0.0030185334359474902,0.004104742617313084,0.004104742617313084
2017-01-20,9.0,4.0,2.0,0.0,0.0,0.004172888333027498,0.00876168008604794,0.0047901346270387,0.0,0.0,0.007689327153837633,0.01295899187250149,-0.007689327153837633,-0.01295899187250149,-0.01295899187250149
2017-01-23,9.0,4.0,2.0,0.0,0.0,-0.00015076420101534088,0.001207867096714249,0.005310214228824273,0.0,0.0,0.0027392850436229743,0.008195034302515447,-0.0027392850436229743,-0.008195034302515447,-0.008195034302515447
2017-01-24,9.0,4.0,2.0,0.0,0.0,-0.0016708801282096816,-0.0037371928550858913,-0.0032614203977957,0.0,0.0,0.00010998549380514255,-0.0011195414254629998,-0.00010998549380514255,0.0011195414254629998,0.0011195414254629998
2017-01-25,9.0,4.0,2.0,0.0,0.0,0.0007360396381818439,0.0013640115508398443,0.003934734223620839,0.0,0.0,0.0034032308401077405,0.0023210699954259173,-0.0034032308401077405,-0.0023210699954259173,-0.0023210699954259173
2017-01-26,9.0,4.0,2.0,0.0,0.0,0.00223879135777574,0.0012779893236335993,0.0046083694519651885,0.0,0.0,0.0035723806984804263,0.0071428918193336965,-0.0035723806984804263,-0.0071428918193336965,-0.0071428918193336965
2017-02-03,9.0,4.0,2.0,0.0,0.0,-0.006326229935268459,-0.0038506637434967683,-0.00949441169043197,0.0,0.0,-0.00692747257936932,-0.002670432908988385,0.00692747257936932,0.002670432908988385,0.002670432908988385
2017-02-06,9.0,4.0,2.0,0.0,0.0,0.001959686996953616,-0.00406526720848116,0.0020755289269118182,0.0,0.0,0.0025917746820469656,0.008403293652903265,-0.0025917746820469656,-0.008403293652903265,-0.008403293652903265
2017-02-07,9.0,4.0,2.0,0.0,0.0,-0.0013266586156670287,0.0021947286912877284,-0.0025024024725988636,0.0,0.0,-0.0022322950542659203,-0.0005304149858209595,0.0022322950542659203,0.0005304149858209595,0.0005304149858209595
2017-02-08,9.0,4.0,2.0,0.0,0.0,0.00042759874381584036,0.0006717863525458889,0.00385434830048359,0.0,0.0,0.005232226474293444,0.0057017901415137295,-0.005232226474293444,-0.0057017901415137295,-0.0057017901415137295
2017-02-09,9.0,4.0,2.0,0.0,0.0,0.0021545036055562335,0.004696659339763765,0.001878031722661433,0.0,0.0,0.003842413745200668,0.0062909275859877045,-0.003842413745200668,-0.0062909275859877045,-0.0062909275859877045
