,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2017-01-03,2.0,3.0,3.0,4.0,4.0,0.004800848864780605,0.00508175393348916,0.0010894172608959158,0.0018263415146026196,-7.655792635552494e-05,0.00971275618716172,0.009120909121388188,-0.009789314113517245,-0.009197467047743713,-0.009197467047743713
2017-01-04,2.0,3.0,3.0,4.0,4.0,0.006139843222982777,0.006536062452172493,0.003382007610395421,0.01830155910924247,0.0061394993961182975,0.0078031733303811635,0.011693214107164396,-0.001663673934262866,-0.005553714711046098,-0.005553714711046098
2017-01-05,2.0,3.0,4.0,5.0,2.0,0.001254719154894668,7.323630011631571e-05,-0.00451424745981191,0.0013680132523857804,0.0004277354583117621,-0.00015438008971857542,0.0007209128852621038,0.0005821155480303375,-0.00029317742695034177,-0.00029317742695034177
2017-01-06,2.0,3.0,4.0,5.0,2.0,-0.001431837572504202,-0.0013595785565203578,-0.0027074734361474673,-0.0008737290330848469,-0.0011649070837194686,-0.005974244237318849,-0.004322361265642338,0.00480933715359938,0.0031574541819228696,0.0031574541819228696
2017-01-09,2.0,3.0,4.0,5.0,2.0,0.004733818460360029,0.009337795932810514,0.007449106692156815,0.0020207953986464133,-0.002910280887110983,0.004848148114957596,0.006874232926634027,-0.007758429002068579,-0.00978451381374501,-0.00978451381374501
2017-01-10,2.0,3.0,4.0,5.0,2.0,-0.001338505244755206,-0.0023151761904351234,-0.002031682154403358,-0.0034884004109680513,-0.004560670023457447,-0.0016736526056065903,-0.0033497417160528453,-0.0028870174178508567,-0.0012109283074046018,-0.0012109283074046018
2017-01-11,2.0,3.0,4.0,5.0,2.0,-0.003323890295065246,-0.0010317129427308187,-0.0039830416352336084,-0.0046870950105004205,-0.005465547797394832,-0.007078049114573881,-0.009692004760765371,0.0016125013171790492,0.0042264569633705396,0.0042264569633705396
2017-01-12,2.0,2.0,4.0,4.0,4.0,-0.0037917174087995775,7.823501799408827e-05,-0.0014165896213347295,-0.002760083543263625,-0.00024026637235405324,-0.005062228220123033,-0.00933518215528839,0.00482196184776898,0.009094915782934337,0.009094915782934337
2017-01-13,2.0,2.0,4.0,4.0,4.0,-0.0003914196412724835,-0.005475594493116409,-0.003590912305409144,-0.005358013639007703,-0.006285688349307483,0.0006902538566804228,-0.012464828586687182,-0.006975942205987906,0.006179140237379699,0.006179140237379699
2017-01-16,2.0,2.0,4.0,4.0,4.0,-0.012285520335488131,-0.00790888959190128,-0.008503014383753754,-0.008919053838127106,-0.014948541264706627,-0.0001385579729571429,-0.026380786031840353,-0.014809983291749484,0.011432244767133726,0.011432244767133726
2017-01-17,2.0,2.0,4.0,4.0,4.0,0.00590211756162029,0.007232401157184154,-0.00020500894212693854,0.001988228645847301,-0.0011936966198195786,0.0020816701562007545,0.008427785994256531,-0.003275366776020333,-0.00962148261407611,-0.00962148261407611
2017-01-18,2.0,2.0,4.0,4.0,4.0,-0.003003040142619595,0.0015446768060836114,-0.0013003888389363505,-0.005914415406098911,-0.00655963981868854,0.0039111821931479,-0.0022163506832376667,-0.01047082201183644,-0.004343289135450873,-0.004343289135450873
2017-01-19,3.0,2.0,3.0,3.0,5.0,-0.002263083070723685,0.0023828756058158485,-0.0010870371258021963,0.005228228374497027,-0.008433566253372505,-0.0030185334359474902,-0.004104742617313084,-0.005415032817425015,-0.004328823636059421,-0.004328823636059421
2017-01-20,3.0,2.0,3.0,3.0,5.0,0.005833590797552042,0.0020500040196157476,0.0068086250555037245,0.0033905108573835845,0.007785531251481226,0.007689327153837633,0.01295899187250149,9.620409764359277e-05,-0.005173460621020265,-0.005173460621020265
2017-01-23,3.0,2.0,3.0,3.0,5.0,-0.0004552147421650331,0.00392313851080861,0.0011506714708396555,5.155423588069474e-06,0.00036287616644001833,0.0027392850436229743,0.008195034302515447,-0.002376408877182956,-0.00783215813607543,-0.00783215813607543
